"","CardNames","DeckCount","Winrate95Min"
"1","Lightning Axe",28,66.2
"2","Otawara, Soaring City",84,66.1
"3","Galvanic Iteration",38,65.6
"4","Hall of Storm Giants",53,65.3
"5","Chart a Course",26,65
"6","Island",69,65
"7","Fiery Impulse",29,64.9
"8","Opt",29,64.9
"9","Spirebluff Canal",29,64.9
"10","Sokenzan, Crucible of Defiance",60,64.7
"11","Arclight Phoenix",24,64.6
"12","Pieces of the Puzzle",24,64.6
"13","Temporal Trespass",24,64.6
"14","Riverglide Pathway",30,64.5
"15","Crackling Drake",11,64.3
"16","Steam Vents",39,64.3
"17","Urborg, Tomb of Yawgmoth",39,64.2
"18","Consider",31,64.1
"19","Den of the Bugbear",58,64.1
"20","Treasure Cruise",28,64
"21","Blightstep Pathway",40,63.8
"22","Blood Crypt",46,63.8
"23","Stormcarved Coast",28,63.7
"24","Izzet Charm",9,63.6
"25","Boseiju, Who Endures",38,63.6
"26","Expressive Iteration",40,63.4
"27","Voldaren Epicure",24,63.3
"28","Thing in the Ice",24,63.3
"29","Flame-Blessed Bolt",20,63.2
"30","Behold the Beyond",24,63.2
"31","Fatal Push",51,63
"32","Mastermind's Acquisition",22,62.9
"33","Arboreal Grazer",26,62.9
"34","Fae of Wishes",26,62.9
"35","Vizier of Tumbling Sands",26,62.9
"36","Bala Ged Recovery",26,62.9
"37","Emergent Ultimatum",26,62.9
"38","Hidden Strings",26,62.9
"39","Peer into the Abyss",26,62.9
"40","Pore Over the Pages",26,62.9
"41","Shimmer of Possibility",26,62.9
"42","Sylvan Scrying",26,62.9
"43","Omniscience",26,62.9
"44","Lotus Field",26,62.9
"45","Temple of Mystery",26,62.9
"46","Thespian's Stage",26,62.9
"47","Takenuma, Abandoned Mire",43,62.9
"48","Bloodtithe Harvester",32,62.8
"49","Mountain",71,62.8
"50","Dovin's Veto",23,62.7
